av,treatment,side
89.33333333,Hs Fb,L
59.11111111,Hs Fb,L
84,Hs Fb,L
73.77777778,Hs Fb,L
59.11111111,Hs Fb,L
63.11111111,Hs Fb,L
92.88888889,Hs Fb,L
56.88888889,Hs Fb,L
67.11111111,Hs Fb,L
46.22222222,Hs Fb,L
60.88888889,Hs Fb,L
56,Hs Fb,L
101.7777778,Hs Fb,L
49.77777778,Hs Fb,L
52.44444444,Hs Fb,L
49.77777778,Hs Fb,L
67.11111111,Hs Fb,L
46.66666667,Hs Fb,L
69.33333333,Hs Fb,L
59.11111111,Hs Fb,L
70.22222222,Hs Hb ,L
33.33333333,Hs Hb ,L
88.88888889,Hs Hb ,L
56.88888889,Hs Hb ,L
59.55555556,Hs Hb ,L
64.88888889,Hs Hb ,L
77.33333333,Hs Hb ,L
52,Hs Hb ,L
49.33333333,Hs Hb ,L
38.66666667,Hs Hb ,L
78.66666667,Hs Hb ,L
32.44444444,Hs Hb ,L
67.55555556,Hs Hb ,L
44,Hs Hb ,L
57.77777778,Hs Hb ,L
39.55555556,Hs Hb ,L
90.22222222,Hs Hb ,L
46.66666667,Hs Hb ,L
73.33333333,Hs Hb ,L
45.33333333,Hs Hb ,L
101.3333333,Hs Fb,R
88.44444444,Hs Fb,R
100,Hs Fb,R
84,Hs Fb,R
89.77777778,Hs Fb,R
97.33333333,Hs Fb,R
79.55555556,Hs Fb,R
52.88888889,Hs Fb,R
136.8888889,Hs Fb,R
94.22222222,Hs Fb,R
100.4444444,Hs Fb,R
78.66666667,Hs Fb,R
99.11111111,Hs Fb,R
101.7777778,Hs Fb,R
129.3333333,Hs Fb,R
98.22222222,Hs Fb,R
96.44444444,Hs Fb,R
69.77777778,Hs Fb,R
100,Hs Fb,R
102.6666667,Hs Fb,R
84,Hs Hb ,R
75.55555556,Hs Hb ,R
148.8888889,Hs Hb ,R
112,Hs Hb ,R
124,Hs Hb ,R
117.3333333,Hs Hb ,R
112.4444444,Hs Hb ,R
63.55555556,Hs Hb ,R
155.1111111,Hs Hb ,R
125.7777778,Hs Hb ,R
125.7777778,Hs Hb ,R
100.8888889,Hs Hb ,R
87.11111111,Hs Hb ,R
85.77777778,Hs Hb ,R
108,Hs Hb ,R
107.5555556,Hs Hb ,R
109.7777778,Hs Hb ,R
118.6666667,Hs Hb ,R
108,Hs Hb ,R
78.66666667,Hs Hb ,R
